Datetima;Curah Hujan;RMM1;RMM2;Phase;Amplitude
01/01/2016;1,13;-0,29434481;2,0004501;7;2,0219889
02/01/2016;7,07;-0,55838132;2,1237156;7;2,1958957
03/01/2016;0,39;-0,72465169;2,0528684;7;2,1770139
04/01/2016;0,3;-1,0889096;2,0280094;7;2,3018572
05/01/2016;3,56;-1,2864174;2,1193745;7;2,4792373
06/01/2016;3,71;-1,5209401;1,9890016;7;2,5038743
07/01/2016;4,29;-1,7574258;1,8514115;7;2,5526986
08/01/2016;0,14;-1,933834;1,3236122;8;2,3434298
09/01/2016;1,25;-1,7942272;0,77237898;8;1,9534125
10/01/2016;0;-1,8115729;0,6061939;8;1,9103056
11/01/2016;3,59;-1,2358924;0,10210231;8;1,2401028
12/01/2016;1,74;-0,88184077;-0,56260484;1;1,0460246
13/01/2016;0,49;-0,7471298;-1,1853689;2;1,401179
14/01/2016;0,2;-0,38867503;-1,3434385;2;1,3985332
15/01/2016;0,1;-0,038100574;-1,2144312;2;1,2150286
16/01/2016;4,39;0,27598038;-1,0995506;3;1,1336564
17/01/2016;0,75;0,49843314;-0,99297303;3;1,1110495
18/01/2016;0,81;0,56062919;-0,94573861;3;1,099421
19/01/2016;10,37;0,48950866;-0,94951099;3;1,0682648
20/01/2016;4,52;0,1177663;-0,88550693;3;0,89330369
21/01/2016;22,34;-0,12726827;-0,70181751;2;0,71326363
22/01/2016;6,17;-0,090845071;-0,21850237;2;0,23663498
23/01/2016;23,26;0,03976744;-0,005435562;4;0,040137198
24/01/2016;26,22;0,28415418;-0,28663653;3;0,40361381
25/01/2016;30,8;0,43407667;-0,64736789;3;0,77942783
26/01/2016;8,29;0,91127425;-0,83265966;4;1,2343998
27/01/2016;26,04;1,0724431;-0,62404788;4;1,2407941
28/01/2016;4,7;1,1068093;-0,45267409;4;1,1958013
29/01/2016;3,73;1,1943401;-0,28002346;4;1,226728
30/01/2016;37,4;1,0859522;-0,43864802;4;1,1711978
31/01/2016;32,67;0,88455868;-0,53231698;4;1,0323786
01/02/2016;21,43;0,88158834;-0,51991522;4;1,0234793
02/02/2016;7,35;1,0701748;-0,6547699;4;1,2545906
03/02/2016;16,82;1,027734;-0,53505218;4;1,1586708
04/02/2016;5,71;1,3357019;-0,47701606;4;1,4183244
05/02/2016;4,76;1,6503928;-0,22623006;4;1,6658261
06/02/2016;4,11;2,0483816;-0,29978374;4;2,0702024
07/02/2016;4,12;2,0200031;-0,24302332;4;2,0345695
08/02/2016;43,93;1,8268729;-0,2656939;4;1,8460927
09/02/2016;5,12;1,8998071;-0,069648601;4;1,9010834
10/02/2016;14,66;1,9959941;0,092866033;5;1,9981532
11/02/2016;60,52;2,0189896;0,047848258;5;2,0195563
12/02/2016;33,47;2,0086117;0,2211241;5;2,0207467
13/02/2016;7,11;2,1422615;0,73160642;5;2,2637429
14/02/2016;0,95;1,8706824;1,2704781;5;2,2613199
15/02/2016;0,34;1,4420687;1,9243835;6;2,4047482
16/02/2016;3,02;0,97592866;2,0952175;6;2,3113575
17/02/2016;0,62;0,37268883;2,0123467;6;2,046567
18/02/2016;0,7;0,086510338;1,9002506;6;1,9022187
19/02/2016;35,12;-0,070576705;1,9219097;7;1,9232051
20/02/2016;1,28;-0,28332293;2,0587089;7;2,0781131
21/02/2016;5,02;-0,7392984;2,2145884;7;2,3347299
22/02/2016;14,06;-1,1456546;2,4012284;7;2,6605303
23/02/2016;5,12;-1,4399927;2,707989;7;3,0670478
24/02/2016;5,1;-1,6925964;2,390883;7;2,9293692
25/02/2016;12,06;-1,9375197;1,9630157;7;2,7581539
26/02/2016;44,03;-1,713991;1,9086415;7;2,5652831
27/02/2016;22,07;-1,3895541;1,7689656;7;2,2494667
28/02/2016;5,72;-1,025231;1,5078719;7;1,8233969
29/02/2016;29,73;-1,035988;1,3950133;7;1,7376229
01/03/2016;20,43;-1,2941223;1,1556969;8;1,735047
02/03/2016;2,86;-1,4124643;0,85505831;8;1,6511148
03/03/2016;2,4;-1,5414246;0,8833074;8;1,7765759
04/03/2016;1,6;-1,2580842;0,7099812;8;1,4445931
05/03/2016;0,24;-1,2243016;0,37172741;8;1,2794904
06/03/2016;1,99;-1,1172942;0,16960679;8;1,1300942
07/03/2016;8,05;-0,94845039;-0,048328213;1;0,94968086
08/03/2016;10,19;-0,90147996;-0,36290675;1;0,97178566
09/03/2016;2,25;-0,57517725;-0,70252848;2;0,90795106
10/03/2016;5,72;-0,2355904;-0,6391207;2;0,68115938
11/03/2016;2,83;0,074335314;-0,69607413;3;0,70003211
12/03/2016;32,77;0,21105668;-0,86659539;3;0,89192629
13/03/2016;1;0,52849698;-0,96155328;3;1,0972209
14/03/2016;1,81;0,74526352;-0,69710171;4;1,0204747
15/03/2016;5;0,95256525;-0,5316574;4;1,0908896
16/03/2016;4,31;1,0891194;-0,33180055;4;1,1385398
17/03/2016;1,27;1,2874328;-0,039932456;4;1,288052
18/03/2016;0,66;1,3325418;0,21966456;5;1,3505259
19/03/2016;0,51;1,2827018;0,5149647;5;1,382213
20/03/2016;0,13;1,3604512;0,58360302;5;1,4803445
21/03/2016;0,08;1,4842349;0,8026796;5;1,687379
22/03/2016;3,63;1,5785385;0,61860287;5;1,6954212
23/03/2016;1,04;1,4825264;0,69269574;5;1,6363716
24/03/2016;4,78;0,9796192;1,0818074;6;1,4594386
25/03/2016;0,7;0,53674364;1,1870607;6;1,3027689
26/03/2016;3,5;-0,042532712;0,96600974;7;0,96694565
27/03/2016;11,08;-0,41312864;0,72228795;7;0,83209085
28/03/2016;1,38;-0,65245599;0,36898905;8;0,74956769
29/03/2016;0,76;-1,2257683;0,21173458;8;1,243921
30/03/2016;9,48;-1,5051693;0,072361007;8;1,5069077
31/03/2016;10,97;-1,4593788;0,026192894;8;1,4596139
01/04/2016;0,19;-1,3491604;-0,25848657;1;1,3736991
02/04/2016;3,08;-1,1557752;-0,41398147;1;1,2276795
03/04/2016;12,73;-0,73772985;-0,66881526;1;0,99577063
04/04/2016;0,51;-0,16335568;-0,90425467;2;0,91889149
05/04/2016;7,31;0,27848345;-1,058118;3;1,0941511
06/04/2016;1,41;0,29913336;-1,0757936;3;1,1166077
07/04/2016;0,59;0,19851477;-0,88550812;3;0,90748703
08/04/2016;17,41;0,10541556;-0,71791095;3;0,72560912
09/04/2016;6,21;0,27445114;-0,77937263;3;0,82628393
10/04/2016;1,41;0,21151052;-0,71457905;3;0,74522471
11/04/2016;0,42;0,30856889;-0,57989812;3;0,65688401
12/04/2016;16,57;0,62565255;-0,54157084;4;0,82749021
13/04/2016;7,61;1,073718;-0,16250218;4;1,0859454
14/04/2016;10,25;0,85988903;0,086862303;5;0,86426514
15/04/2016;2,28;0,51390392;0,090269037;5;0,52177173
16/04/2016;0,89;0,32812327;0,054326333;5;0,33259019
17/04/2016;0,15;0,064430662;-0,15694711;3;0,16965762
18/04/2016;0,07;-0,066042177;-0,086293645;2;0,10866537
19/04/2016;0,04;-0,12358063;-0,29410109;2;0,31901038
20/04/2016;0,13;-0,1146765;-0,16577293;2;0,20157222
21/04/2016;0,33;-0,23050666;-0,16436768;1;0,28310785
22/04/2016;0,32;-0,27114338;-0,11339281;1;0,29389906
23/04/2016;0,08;-0,32777515;-0,13862635;1;0,35588455
24/04/2016;0,12;-0,27175328;-0,15905008;1;0,31487581
25/04/2016;0,19;-0,45986581;-0,10204935;1;0,47105268
26/04/2016;1,25;-0,52923328;0,086343147;8;0,53623039
27/04/2016;3,5;-0,55980676;0,41092923;8;0,69443965
28/04/2016;0,15;-0,50122613;0,28917667;8;0,57866293
29/04/2016;1,67;-0,5205071;0,24535675;8;0,57543689
30/04/2016;1,27;-0,69524252;0,005165359;8;0,69526172
01/05/2016;7,44;-0,80312473;-0,24467611;1;0,83956873
02/05/2016;0,43;-0,66066962;-0,52157605;1;0,84173977
03/05/2016;0,23;-0,53395963;-0,70366663;2;0,88332307
04/05/2016;3,31;-0,45798084;-0,89999473;2;1,0098203
05/05/2016;0,3;-0,50391334;-1,0890646;2;1,199996
06/05/2016;0,15;-0,28164271;-1,1684028;2;1,2018684
07/05/2016;0,13;-0,20594025;-1,4875482;2;1,501736
08/05/2016;3,17;-0,032374091;-1,5377524;2;1,5380931
09/05/2016;8,35;0,20286219;-1,6356858;3;1,6482174
10/05/2016;0,48;0,37081864;-1,5420809;3;1,5860391
11/05/2016;0,7;0,70368928;-1,719384;3;1,8578105
12/05/2016;0,79;0,83320236;-1,9350727;3;2,1068299
13/05/2016;8,96;0,77997333;-1,9370242;3;2,0881622
14/05/2016;1,3;0,6594671;-1,8364707;3;1,9512872
15/05/2016;0,64;1,0237134;-1,6361719;3;1,9300382
16/05/2016;0,2;1,3512722;-1,5978553;3;2,0926247
17/05/2016;0,45;1,4665083;-1,3234411;4;1,9753842
18/05/2016;0,47;1,6943886;-0,95062667;4;1,9428443
19/05/2016;0,18;2,0265117;-0,67030388;4;2,1344922
20/05/2016;0,21;2,1137741;-0,31330988;4;2,1368678
21/05/2016;0,31;2,0093527;-0,33157375;4;2,0365262
22/05/2016;0,55;1,8891329;-0,072098196;4;1,8905082
23/05/2016;0,26;1,5517794;0,063623376;5;1,5530831
24/05/2016;0,07;1,1012177;0,004867516;5;1,1012286
25/05/2016;0,11;0,80870056;-0,021725653;4;0,80899233
26/05/2016;1,45;0,4002355;-0,25924191;4;0,47685933
27/05/2016;8,61;0,20147593;-0,3017948;3;0,36286727
28/05/2016;2,32;-0,020341435;-0,29422817;2;0,29493049
29/05/2016;1,09;0,11349456;-0,34669125;3;0,3647956
30/05/2016;2,88;-0,085611589;-0,38834435;2;0,39766905
31/05/2016;0,46;-0,0799587;-0,071883507;1;0,10752038
01/06/2016;0,06;-0,12306762;0,06795948;8;0,14058496
02/06/2016;0,07;0,15786539;0,16199894;6;0,22619712
03/06/2016;0,08;0,14926685;0,58314121;6;0,60194206
04/06/2016;0,24;0,032781251;0,81597733;6;0,81663555
05/06/2016;0,7;-0,21995082;0,86546123;7;0,89297342
06/06/2016;7,41;-0,42853472;0,70616168;7;0,82601833
07/06/2016;0,18;-0,52247137;0,17222607;8;0,5501256
08/06/2016;0,16;-0,56346148;-0,35025716;1;0,66345227
09/06/2016;1,68;-0,79742241;-0,84385079;2;1,1610197
10/06/2016;0,64;-0,91023254;-1,167419;2;1,4803345
11/06/2016;6,83;-0,75462711;-1,5174825;2;1,6947612
12/06/2016;0,12;-0,56068826;-1,8897785;2;1,9712012
13/06/2016;25,79;-0,26906124;-2,194674;2;2,2111056
14/06/2016;3,3;-0,11051568;-2,2792158;2;2,2818935
15/06/2016;1,55;0,17697452;-2,2170134;3;2,2240658
16/06/2016;14,42;0,34134459;-2,2935867;3;2,3188481
17/06/2016;1,87;0,57346106;-2,286464;3;2,3572812
18/06/2016;0,28;0,94533128;-1,9608573;3;2,1768353
19/06/2016;0,63;1,367787;-1,5658424;3;2,0791111
20/06/2016;1,34;1,6648916;-1,1486975;4;2,0227134
